[StudentAgent] Player 1 chose move with value=-34.60, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=-25.16, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-5.53, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=5.73, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=11.42, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=20.41, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=23.27, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=25.25, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=29.94, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=32.87, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=41.07, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=43.79, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=42.43, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=46.27, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=38.82, final depth=3, time=1.600s
